Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,52.0 °F,48.9 °F,89%,30.13 in,5.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,53.1 °F,50.0 °F,89%,30.09 in,4.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:38 AM,55.9 °F,52.0 °F,87%,30.24 in,5.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,54.0 °F,51.1 °F,90%,30.08 in,4.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:15 AM,52.0 °F,48.9 °F,89%,30.23 in,4.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,52.0 °F,48.9 °F,89%,30.06 in,3.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,57.0 °F,52.0 °F,83%,30.05 in,6.0 mi,NW,5.8 mph,  -,N/A,	 ,Haze
5:53 AM,55.0 °F,52.0 °F,89%,30.02 in,5.0 mi,NNE,6.9 mph,  -,0.00 in,Rain,Light Rain
6:12 AM,55.9 °F,52.0 °F,87%,30.17 in,2.5 mi,West,5.8 mph,  -,0.00 in,	 ,Mostly Cloudy
6:18 AM,55.9 °F,53.1 °F,90%,30.18 in,1.0 mi,WNW,16.1 mph,20.7 mph,0.00 in,	 ,Mostly Cloudy
6:26 AM,55.9 °F,53.1 °F,90%,30.17 in,0.5 mi,West,12.7 mph,  -,0.00 in,	 ,Mostly Cloudy
6:37 AM,55.9 °F,53.1 °F,90%,30.17 in,2.5 mi,NW,9.2 mph,  -,0.00 in,	 ,Mostly Cloudy
6:53 AM,59.0 °F,53.1 °F,81%,30.01 in,2.5 mi,NW,10.4 mph,  -,0.00 in,	 ,Haze
7:01 AM,59.0 °F,52.0 °F,78%,30.18 in,4.0 mi,NW,11.5 mph,  -,N/A,	 ,Haze
7:53 AM,61.0 °F,53.1 °F,75%,30.01 in,5.0 mi,WNW,4.6 mph,  -,N/A,	 ,Haze
8:53 AM,64.0 °F,52.0 °F,65%,30.00 in,9.0 mi,SW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,68.0 °F,52.0 °F,56%,29.97 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
